condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_altruistic,687,0.0,False,522,38910,39182,5000,93.6,48858.84,0.284,13.65
four_peak_altruistic,215,0.0,True,0,269,19,148,0.0,0.0,0.0,0.0
four_peak_altruistic,364,0.0,False,1285,98015,99050,5000,47.88,61521.58,0.158,16.88
four_peak_altruistic,380,0.0,False,537,39140,39427,5000,73.29,39354.3,0.253,11.77
four_peak_altruistic,167,0.0,True,0,276,26,157,0.0,0.0,0.0,0.0
four_peak_altruistic,374,0.0,False,503,38094,38347,5000,82.78,41636.47,0.268,12.13
four_peak_altruistic,855,0.0,True,0,262,12,152,0.0,0.0,0.0,0.0
four_peak_altruistic,651,0.0,True,0,272,22,142,0.0,0.0,0.0,0.0
four_peak_altruistic,465,0.0,False,1179,87125,88054,5000,53.2,62721.77,0.178,17.51
four_peak_altruistic,955,0.0,False,462,27272,27484,5000,97.39,44996.15,0.311,13.75
four_peak_altruistic,948,0.0,True,0,304,54,412,0.0,0.0,0.0,0.0
four_peak_altruistic,104,0.0,False,974,62053,62777,5000,74.0,72072.96,0.267,19.33
four_peak_altruistic,888,0.0,True,0,268,18,139,0.0,0.0,0.0,0.0
four_peak_altruistic,979,0.0,False,369,21447,21566,5000,128.8,47526.5,0.361,16.82
four_peak_altruistic,876,0.0,False,511,35469,35730,5000,91.57,46792.79,0.288,13.05
four_peak_altruistic,82,0.0,True,0,261,11,149,0.0,0.0,0.0,0.0
four_peak_altruistic,297,0.0,True,0,262,12,142,0.0,0.0,0.0,0.0
four_peak_altruistic,792,0.0,False,479,39143,39372,5000,97.68,46787.17,0.284,15.15
four_peak_altruistic,234,0.0,False,1001,73009,73760,5000,69.64,69709.33,0.241,19.46
four_peak_altruistic,678,0.0,False,1342,86420,87512,5000,49.51,66448.45,0.175,18.25
four_peak_altruistic,47,0.0,True,0,315,65,186,0.0,0.0,0.0,0.0
four_peak_altruistic,72,0.0,False,1263,96679,97692,5000,59.79,75519.03,0.16,20.35
four_peak_altruistic,722,0.0,False,501,31665,31916,5000,81.59,40876.68,0.288,10.6
four_peak_altruistic,197,0.0,True,0,277,27,164,0.0,0.0,0.0,0.0
four_peak_altruistic,592,0.0,False,363,14459,14572,5000,162.24,58892.39,0.516,16.26
four_peak_altruistic,371,0.0,True,0,273,23,170,0.0,0.0,0.0,0.0
four_peak_altruistic,883,0.0,False,520,35946,36216,5000,90.86,47245.66,0.295,12.38
four_peak_altruistic,907,0.0,False,1046,81508,82304,5000,61.92,64768.29,0.194,18.94
four_peak_altruistic,634,0.0,True,0,273,23,147,0.0,0.0,0.0,0.0
four_peak_altruistic,644,0.0,True,0,261,11,129,0.0,0.0,0.0,0.0
four_peak_altruistic,850,0.0,False,1305,95531,96586,5000,52.6,68647.13,0.165,18.35
four_peak_altruistic,301,0.0,False,1009,64736,65495,5000,65.53,66116.58,0.246,18.76
four_peak_altruistic,566,0.0,False,1051,67657,68458,5000,57.61,60547.08,0.282,16.37
four_peak_altruistic,81,0.0,False,1308,88684,89742,5000,53.35,69786.56,0.169,19.28
four_peak_altruistic,388,0.0,False,284,21517,21551,5000,64.9,18431.79,0.213,10.41
four_peak_altruistic,128,0.0,False,1204,79037,79991,5000,59.83,72029.91,0.178,20.25
four_peak_altruistic,550,0.0,False,413,22870,23033,5000,115.59,47737.91,0.359,16.31
four_peak_altruistic,471,0.0,False,1253,94516,95519,5000,60.33,75593.73,0.169,20.64
four_peak_altruistic,748,0.0,False,477,30044,30271,5000,96.01,45794.66,0.302,15.12
four_peak_altruistic,45,0.0,True,0,271,21,157,0.0,0.0,0.0,0.0
four_peak_altruistic,827,0.0,True,0,279,29,169,0.0,0.0,0.0,0.0
four_peak_altruistic,271,0.0,False,1046,68582,69378,5000,67.14,70227.69,0.228,19.93
four_peak_altruistic,619,0.0,False,1329,89478,90557,5000,49.99,66438.03,0.163,18.24
four_peak_altruistic,353,0.0,True,0,268,18,156,0.0,0.0,0.0,0.0
four_peak_altruistic,868,0.0,False,424,25979,26153,5000,98.92,41941.1,0.327,12.54
four_peak_altruistic,368,0.0,True,0,283,33,180,0.0,0.0,0.0,0.0
four_peak_altruistic,100,0.0,True,0,280,30,175,0.0,0.0,0.0,0.0
four_peak_altruistic,390,0.0,False,1302,87406,88458,5000,55.73,72555.48,0.176,19.93
four_peak_altruistic,95,0.0,False,1312,95178,96240,5000,51.46,67512.93,0.173,18.28
four_peak_altruistic,991,0.0,False,964,63200,63914,5000,82.36,79399.17,0.245,22.93
four_peak_altruistic,345,0.0,False,1270,83578,84598,5000,53.76,68275.21,0.164,18.69
four_peak_altruistic,782,0.0,False,1024,59388,60162,5000,75.57,77381.41,0.299,20.67
four_peak_altruistic,221,0.0,False,1255,94080,95085,5000,61.23,76848.05,0.156,20.66
four_peak_altruistic,160,0.0,False,1291,84946,85987,5000,49.96,64501.78,0.156,17.65
four_peak_altruistic,965,0.0,True,0,294,44,324,0.0,0.0,0.0,0.0
