condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_egoistic,687,0.0,True,0,286,36,148,0.0,0.0,0.0,0.0
four_peak_egoistic,215,0.0,True,0,282,32,147,0.0,0.0,0.0,0.0
four_peak_egoistic,364,0.0,False,538,34636,34924,5000,78.75,42366.41,0.283,11.03
four_peak_egoistic,380,0.0,False,347,26798,26895,5000,57.74,20035.97,0.154,11.25
four_peak_egoistic,167,0.0,False,1063,84786,85599,5000,67.17,71402.61,0.214,20.46
four_peak_egoistic,374,0.0,True,0,283,33,166,0.0,0.0,0.0,0.0
four_peak_egoistic,855,0.0,False,535,29970,30255,5000,82.02,43879.72,0.302,9.74
four_peak_egoistic,651,0.0,False,553,39359,39662,5000,79.53,43982.02,0.301,10.55
four_peak_egoistic,465,0.0,False,1116,82629,83495,5000,56.84,63434.97,0.211,18.44
four_peak_egoistic,955,0.0,True,0,277,27,215,0.0,0.0,0.0,0.0
four_peak_egoistic,948,0.0,True,0,276,26,187,0.0,0.0,0.0,0.0
four_peak_egoistic,104,0.0,True,0,305,55,256,0.0,0.0,0.0,0.0
four_peak_egoistic,888,0.0,False,1078,71275,72103,5000,66.05,71197.78,0.21,19.87
four_peak_egoistic,979,0.0,False,516,39725,39991,5000,80.33,41451.15,0.273,13.28
four_peak_egoistic,876,0.0,True,0,259,9,130,0.0,0.0,0.0,0.0
four_peak_egoistic,82,0.0,True,0,268,18,149,0.0,0.0,0.0,0.0
four_peak_egoistic,297,0.0,False,1305,90330,91385,5000,57.4,74901.7,0.163,20.1
four_peak_egoistic,792,0.0,False,532,42587,42869,5000,70.06,37273.04,0.265,9.86
four_peak_egoistic,234,0.0,True,0,294,44,176,0.0,0.0,0.0,0.0
four_peak_egoistic,678,0.0,False,543,38273,38566,5000,66.86,36303.1,0.307,9.98
four_peak_egoistic,47,0.0,True,0,261,11,132,0.0,0.0,0.0,0.0
four_peak_egoistic,72,0.0,True,0,318,68,334,0.0,0.0,0.0,0.0
four_peak_egoistic,722,0.0,False,1169,77997,78916,5000,65.93,77074.39,0.19,21.14
four_peak_egoistic,197,0.0,False,1053,77024,77827,5000,64.65,68078.63,0.193,20.15
four_peak_egoistic,592,0.0,False,939,63183,63872,5000,79.55,74695.52,0.248,22.32
four_peak_egoistic,371,0.0,True,0,257,7,152,0.0,0.0,0.0,0.0
four_peak_egoistic,883,0.0,True,0,262,12,128,0.0,0.0,0.0,0.0
four_peak_egoistic,907,0.0,True,0,258,8,98,0.0,0.0,0.0,0.0
four_peak_egoistic,634,0.0,True,0,259,9,118,0.0,0.0,0.0,0.0
four_peak_egoistic,644,0.0,False,1305,95148,96203,5000,57.57,75129.9,0.147,19.75
four_peak_egoistic,850,0.0,False,1238,79077,80065,5000,59.4,73534.9,0.17,20.31
four_peak_egoistic,301,0.0,False,1150,80601,81501,5000,61.65,70892.97,0.184,20.16
four_peak_egoistic,566,0.0,False,1215,92025,92990,5000,61.37,74564.61,0.191,20.03
four_peak_egoistic,81,0.0,True,0,285,35,212,0.0,0.0,0.0,0.0
four_peak_egoistic,388,0.0,False,357,27667,27774,5000,58.78,20983.23,0.151,11.75
four_peak_egoistic,128,0.0,False,668,29418,29836,5000,151.68,101321.7,0.492,23.73
four_peak_egoistic,550,0.0,True,0,289,39,215,0.0,0.0,0.0,0.0
four_peak_egoistic,471,0.0,True,0,293,43,323,0.0,0.0,0.0,0.0
four_peak_egoistic,748,0.0,True,0,285,35,177,0.0,0.0,0.0,0.0
four_peak_egoistic,45,0.0,True,0,269,19,189,0.0,0.0,0.0,0.0
four_peak_egoistic,827,0.0,True,0,277,27,206,0.0,0.0,0.0,0.0
four_peak_egoistic,271,0.0,False,536,34457,34743,5000,87.92,47125.37,0.281,12.91
four_peak_egoistic,619,0.0,False,542,37392,37684,5000,77.14,41812.07,0.277,11.12
four_peak_egoistic,353,0.0,True,0,270,20,213,0.0,0.0,0.0,0.0
four_peak_egoistic,868,0.0,True,0,257,7,115,0.0,0.0,0.0,0.0
four_peak_egoistic,368,0.0,False,1310,95090,96150,5000,53.89,70591.16,0.155,19.05
four_peak_egoistic,100,0.0,False,1107,74786,75643,5000,60.78,67281.35,0.193,19.2
four_peak_egoistic,390,0.0,True,0,286,36,191,0.0,0.0,0.0,0.0
four_peak_egoistic,95,0.0,False,1311,96451,97512,5000,53.16,69686.52,0.17,18.97
