condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_utilitarian,215,0.0,False,880,78595,79225,5000,61.32,53963.52,0.239,18.31
four_peak_utilitarian,364,0.0,False,1239,91347,92336,5000,56.0,69377.99,0.169,18.29
four_peak_utilitarian,380,0.0,False,1462,100781,101993,5000,49.28,72045.1,0.151,18.51
four_peak_utilitarian,167,0.0,False,1426,100355,101531,5000,48.87,69685.61,0.161,18.3
four_peak_utilitarian,374,0.0,False,885,73533,74168,5000,61.65,54556.62,0.249,17.97
four_peak_utilitarian,855,0.0,False,1475,104795,106020,5000,46.44,68503.56,0.165,17.08
four_peak_utilitarian,465,0.0,False,1414,108691,109855,5000,48.32,68319.96,0.169,17.66
four_peak_utilitarian,955,0.0,False,1276,72424,73450,5000,57.0,72732.52,0.237,18.24
four_peak_utilitarian,948,0.0,False,1449,106265,107464,5000,46.8,67808.15,0.173,17.73
four_peak_utilitarian,104,0.0,False,1419,107682,108851,5000,51.31,72812.14,0.163,19.19
four_peak_utilitarian,888,0.0,False,876,74566,75192,5000,60.02,52574.76,0.255,18.13
four_peak_utilitarian,979,0.0,False,1486,107131,108367,5000,44.25,65754.92,0.158,16.77
four_peak_utilitarian,82,0.0,False,1448,104213,105411,5000,47.21,68366.93,0.161,17.85
four_peak_utilitarian,297,0.0,False,891,75620,76261,5000,57.43,51171.12,0.249,17.13
four_peak_utilitarian,792,0.0,False,1442,106747,107939,5000,47.77,68884.6,0.16,17.88
four_peak_utilitarian,234,0.0,False,1434,105583,106767,5000,47.04,67449.74,0.157,17.64
four_peak_utilitarian,678,0.0,False,1456,99080,100286,5000,47.95,69815.97,0.158,18.28
four_peak_utilitarian,47,0.0,False,1409,103478,104637,5000,48.1,67778.47,0.164,18.02
four_peak_utilitarian,722,0.0,False,1398,100594,101742,5000,50.71,70885.94,0.165,18.23
four_peak_utilitarian,197,0.0,False,1413,102710,103873,5000,51.21,72363.43,0.162,18.86
four_peak_utilitarian,592,0.0,False,1048,78726,79524,5000,54.66,57279.06,0.223,16.71
four_peak_utilitarian,371,0.0,False,1404,102515,103669,5000,51.87,72823.26,0.154,19.15
four_peak_utilitarian,883,0.0,False,884,74700,75334,5000,64.75,57235.73,0.254,18.71
four_peak_utilitarian,907,0.0,False,1459,106141,107350,5000,46.07,67215.68,0.154,17.32
four_peak_utilitarian,644,0.0,False,1417,104237,105404,5000,49.84,70619.02,0.16,18.14
four_peak_utilitarian,850,0.0,True,0,306,56,274,0.0,0.0,0.0,0.0
four_peak_utilitarian,301,0.0,False,1438,101145,102333,5000,49.74,71527.74,0.166,18.27
four_peak_utilitarian,566,0.0,False,854,68135,68739,5000,67.77,57879.72,0.245,19.55
four_peak_utilitarian,81,0.0,False,1451,92741,93942,5000,46.07,66849.4,0.177,17.11
four_peak_utilitarian,388,0.0,False,1419,104815,105984,5000,48.99,69521.16,0.169,18.13
four_peak_utilitarian,550,0.0,False,1446,108762,109958,5000,45.94,66432.7,0.161,17.45
